clone_pair,start_commit,end_commit,genealogy
python/mxnet/narray.py^144^151+python/mxnet/symbol.py^53^58,16d8569c7,e36c9f075,"I,72ea6f981,2,2-I,34eb88cd6,1,2-I,e9f281a27,13,2-I,11796c3e8,3,2-I,e37727f91,2,2"
python/mxnet/symbol.py^29^34+python/mxnet/symbol.py^38^43,16d8569c7,005250068,"I,72ea6f981,4,2-I,a541a1ad0,5,1"
python/mxnet/symbol.py^29^34+python/mxnet/symbol.py^44^49,16d8569c7,005250068,"I,a541a1ad0,5,1"
python/mxnet/symbol.py^29^34+python/mxnet/symbol.py^53^58,16d8569c7,005250068,"I,72ea6f981,2,2-I,a541a1ad0,5,1"
python/mxnet/symbol.py^38^43+python/mxnet/symbol.py^44^49,16d8569c7,e36c9f075,"I,72ea6f981,4,1-I,34eb88cd6,1,2-I,1134d928e,4,2-I,e9f281a27,1,2-I,e37727f91,2,2"
python/mxnet/symbol.py^38^43+python/mxnet/symbol.py^53^58,16d8569c7,e36c9f075,"I,72ea6f981,6,3-I,34eb88cd6,1,2-I,e9f281a27,13,2-I,11796c3e8,3,2-I,e37727f91,2,2"
python/mxnet/symbol.py^44^49+python/mxnet/symbol.py^53^58,16d8569c7,e36c9f075,"I,72ea6f981,2,2-I,34eb88cd6,2,3-I,1134d928e,4,1-I,e9f281a27,14,3-I,11796c3e8,3,2-I,e37727f91,4,3"
python/mxnet/narray.py^507^524+python/mxnet/symbol.py^459^475,16d8569c7,e36c9f075,"I,51c9a0c0b,2,2-I,9af273462,5,2"
python/mxnet/symbol.py^132^145+python/mxnet/symbol.py^146^159,16d8569c7,e36c9f075,"I,a541a1ad0,2,1-I,b3b21e4e2,4,2-I,e9f281a27,29,3"
python/mxnet/symbol.py^132^145+python/mxnet/symbol.py^160^173,16d8569c7,e36c9f075,"I,a541a1ad0,2,1-I,b3b21e4e2,2,2-I,e9f281a27,7,1"
python/mxnet/symbol.py^146^159+python/mxnet/symbol.py^160^173,16d8569c7,e36c9f075,"I,b3b21e4e2,6,3-I,e9f281a27,22,1"
python/mxnet/narray.py^67^74+python/mxnet/symbol.py^31^36,da9b0cd44,e36c9f075,"I,67613fa13,5,2-I,a541a1ad0,9,2-I,005250068,1,2"
python/mxnet/narray.py^67^74+python/mxnet/symbol.py^40^45,da9b0cd44,e36c9f075,"I,72ea6f981,2,2-I,11796c3e8,3,2-I,e37727f91,2,2"
python/mxnet/narray.py^67^74+python/mxnet/symbol.py^46^51,da9b0cd44,e36c9f075,"I,72ea6f981,2,2-I,34eb88cd6,1,2-I,1134d928e,4,2-I,e9f281a27,1,2"
python/mxnet/narray.py^67^74+python/mxnet/symbol.py^55^60,da9b0cd44,e36c9f075,"I,72ea6f981,2,2-I,34eb88cd6,1,2-I,e9f281a27,13,2-I,e37727f91,2,2"
python/mxnet/narray.py^75^82+python/mxnet/symbol.py^31^36,da9b0cd44,e36c9f075,"I,67613fa13,5,2-I,a541a1ad0,9,2-I,005250068,1,2"
python/mxnet/narray.py^75^82+python/mxnet/symbol.py^40^45,da9b0cd44,e36c9f075,"I,72ea6f981,2,2-I,11796c3e8,3,2-I,e37727f91,2,2"
python/mxnet/narray.py^75^82+python/mxnet/symbol.py^46^51,da9b0cd44,e36c9f075,"I,72ea6f981,2,2-I,34eb88cd6,1,2-I,1134d928e,4,2-I,e9f281a27,1,2"
python/mxnet/narray.py^75^82+python/mxnet/symbol.py^55^60,da9b0cd44,e36c9f075,"I,72ea6f981,2,2-I,34eb88cd6,1,2-I,e9f281a27,13,2-I,e37727f91,2,2"
python/mxnet/narray.py^86^93+python/mxnet/symbol.py^31^36,da9b0cd44,e36c9f075,"I,67613fa13,5,2-I,a541a1ad0,9,2-I,005250068,1,2"
