clone_pair,start_commit,end_commit,genealogy
torch/optim/_multi_tensor/adam.py^34^49+torch/optim/_multi_tensor/radam.py^25^39,5563f4bda0,5948522e9c,"I,3d358a7678,4,1-I,3a21f38a2e,5,3-I,7176c92687,8,2"
torch/optim/_multi_tensor/adamax.py^24^39+torch/optim/_multi_tensor/radam.py^25^39,5563f4bda0,d9acfef831,"C,3a21f38a2e,4,3-C,7176c92687,16,3"
torch/optim/_multi_tensor/adamw.py^33^48+torch/optim/_multi_tensor/radam.py^25^39,5563f4bda0,5948522e9c,"I,a9c7d626e1,4,1-I,3a21f38a2e,4,3-I,7176c92687,8,2"
torch/optim/_multi_tensor/radam.py^25^39+torch/optim/adam.py^34^49,5563f4bda0,5948522e9c,"I,3d358a7678,4,2-I,3a21f38a2e,2,1-I,7176c92687,8,1"
torch/optim/_multi_tensor/radam.py^25^39+torch/optim/adamax.py^24^39,5563f4bda0,5948522e9c,"C,3a21f38a2e,2,1-C,7176c92687,16,3-I,d9acfef831,4,2"
torch/optim/_multi_tensor/radam.py^25^39+torch/optim/adamw.py^33^48,5563f4bda0,5948522e9c,"I,a9c7d626e1,4,2-I,3a21f38a2e,2,1-I,7176c92687,8,1"
torch/optim/_multi_tensor/radam.py^25^39+torch/optim/nadam.py^26^43,5563f4bda0,5948522e9c,"C,3a21f38a2e,2,1-C,7176c92687,8,1-C,ccc1a01dcb,12,2-I,3653f07c7c,5,2"
torch/optim/_multi_tensor/radam.py^25^39+torch/optim/radam.py^25^39,5563f4bda0,5948522e9c,"C,3a21f38a2e,2,1-C,7176c92687,16,3"
torch/optim/_multi_tensor/adadelta.py^39^93+torch/optim/_multi_tensor/radam.py^41^98,5563f4bda0,8e8d170674,"C,3a21f38a2e,4,3-C,7176c92687,9,2"
torch/optim/_multi_tensor/adamax.py^41^97+torch/optim/_multi_tensor/radam.py^41^98,5563f4bda0,d9acfef831,"C,3a21f38a2e,4,3-C,7176c92687,19,3"
torch/optim/_multi_tensor/asgd.py^36^83+torch/optim/_multi_tensor/radam.py^41^98,5563f4bda0,5948522e9c,"C,3a21f38a2e,4,3-C,7176c92687,9,2-C,8bb1d06702,28,1"
torch/optim/_multi_tensor/radam.py^41^98+torch/optim/adadelta.py^40^89,5563f4bda0,5948522e9c,"C,3a21f38a2e,2,1-C,7176c92687,9,1-I,8e8d170674,123,2"
torch/optim/_multi_tensor/radam.py^41^98+torch/optim/adam.py^56^119,5563f4bda0,5948522e9c,"I,3d358a7678,3,2-I,3a21f38a2e,2,1-I,7176c92687,14,3"
torch/optim/_multi_tensor/radam.py^41^98+torch/optim/adamax.py^41^98,5563f4bda0,5948522e9c,"C,3a21f38a2e,2,1-C,7176c92687,13,3-I,d9acfef831,147,2"
torch/optim/_multi_tensor/radam.py^41^98+torch/optim/adamw.py^55^123,5563f4bda0,5948522e9c,"I,a9c7d626e1,3,2-I,3a21f38a2e,2,1-I,7176c92687,14,3"
torch/optim/_multi_tensor/radam.py^41^98+torch/optim/asgd.py^37^94,5563f4bda0,5948522e9c,"C,3a21f38a2e,2,1-C,7176c92687,9,1-C,8bb1d06702,23,2"
torch/optim/_multi_tensor/radam.py^41^98+torch/optim/nadam.py^45^110,5563f4bda0,5948522e9c,"C,3a21f38a2e,2,1-C,7176c92687,9,1-C,ccc1a01dcb,14,2-I,3653f07c7c,25,2"
torch/optim/_multi_tensor/radam.py^41^98+torch/optim/radam.py^41^96,5563f4bda0,5948522e9c,"C,3a21f38a2e,2,1-C,7176c92687,15,3"
torch/optim/_multi_tensor/radam.py^41^98+torch/optim/rmsprop.py^57^118,5563f4bda0,5948522e9c,"C,3a21f38a2e,2,1-C,7176c92687,9,1"
torch/optim/_multi_tensor/radam.py^41^98+torch/optim/rprop.py^30^82,5563f4bda0,5948522e9c,"C,3a21f38a2e,2,1-C,7176c92687,9,1"
torch/optim/_multi_tensor/radam.py^41^98+torch/optim/sparse_adam.py^54^111,5563f4bda0,5948522e9c,"C,3a21f38a2e,2,1-C,7176c92687,9,1"
torch/optim/_multi_tensor/adadelta.py^94^114+torch/optim/_multi_tensor/radam.py^99^119,5563f4bda0,cfc5519661,"I,3a21f38a2e,42,3"
torch/optim/_multi_tensor/adam.py^145^165+torch/optim/_multi_tensor/radam.py^99^119,5563f4bda0,cfc5519661,"I,3a21f38a2e,42,3"
torch/optim/_multi_tensor/adamax.py^98^118+torch/optim/_multi_tensor/radam.py^99^119,5563f4bda0,cfc5519661,"I,3a21f38a2e,42,3"
torch/optim/_multi_tensor/adamw.py^146^166+torch/optim/_multi_tensor/radam.py^99^119,5563f4bda0,cfc5519661,"I,3a21f38a2e,42,3"
torch/optim/_multi_tensor/asgd.py^84^104+torch/optim/_multi_tensor/radam.py^99^119,5563f4bda0,cfc5519661,"I,3a21f38a2e,42,3"
torch/optim/_multi_tensor/radam.py^99^119+torch/optim/_multi_tensor/rmsprop.py^126^146,5563f4bda0,cfc5519661,"I,3a21f38a2e,42,3"
torch/optim/_multi_tensor/radam.py^99^119+torch/optim/_multi_tensor/rprop.py^98^118,5563f4bda0,cfc5519661,"I,3a21f38a2e,42,3"
torch/optim/_multi_tensor/radam.py^99^119+torch/optim/_multi_tensor/sgd.py^157^177,5563f4bda0,cfc5519661,"I,3a21f38a2e,42,3"
torch/optim/_multi_tensor/adam.py^34^49+torch/optim/_multi_tensor/nadam.py^26^43,f0e972a481,3653f07c7c,"I,3d358a7678,4,1-I,3a21f38a2e,5,3-I,ccc1a01dcb,12,2"
torch/optim/_multi_tensor/adamax.py^24^39+torch/optim/_multi_tensor/nadam.py^26^43,f0e972a481,d9acfef831,"C,3a21f38a2e,4,3-C,7176c92687,8,1-C,ccc1a01dcb,12,2"
torch/optim/_multi_tensor/adamw.py^33^48+torch/optim/_multi_tensor/nadam.py^26^43,f0e972a481,3653f07c7c,"I,a9c7d626e1,4,1-I,3a21f38a2e,4,3-I,ccc1a01dcb,12,2"
torch/optim/_multi_tensor/nadam.py^26^43+torch/optim/_multi_tensor/radam.py^25^39,f0e972a481,3653f07c7c,"C,3a21f38a2e,4,3-C,7176c92687,8,2-C,ccc1a01dcb,12,1"
torch/optim/_multi_tensor/nadam.py^26^43+torch/optim/adam.py^34^49,f0e972a481,3653f07c7c,"I,3d358a7678,4,2-I,3a21f38a2e,2,1-I,ccc1a01dcb,12,1"
torch/optim/_multi_tensor/nadam.py^26^43+torch/optim/adamax.py^24^39,f0e972a481,3653f07c7c,"C,3a21f38a2e,2,1-C,7176c92687,8,2-C,ccc1a01dcb,12,1-I,d9acfef831,4,2"
torch/optim/_multi_tensor/nadam.py^26^43+torch/optim/adamw.py^33^48,f0e972a481,3653f07c7c,"I,a9c7d626e1,4,2-I,3a21f38a2e,2,1-I,ccc1a01dcb,12,1"
torch/optim/_multi_tensor/nadam.py^26^43+torch/optim/nadam.py^26^43,f0e972a481,3653f07c7c,"C,3a21f38a2e,2,1-C,ccc1a01dcb,24,3"
torch/optim/_multi_tensor/nadam.py^26^43+torch/optim/radam.py^25^39,f0e972a481,3653f07c7c,"C,3a21f38a2e,2,1-C,7176c92687,8,2-C,ccc1a01dcb,12,1"
torch/optim/_multi_tensor/adadelta.py^39^93+torch/optim/_multi_tensor/nadam.py^45^109,f0e972a481,8e8d170674,"C,3a21f38a2e,4,3-C,ccc1a01dcb,15,2"
torch/optim/_multi_tensor/adamax.py^41^97+torch/optim/_multi_tensor/nadam.py^45^109,f0e972a481,d9acfef831,"C,3a21f38a2e,4,3-C,7176c92687,10,1-C,ccc1a01dcb,15,2"
torch/optim/_multi_tensor/asgd.py^36^83+torch/optim/_multi_tensor/nadam.py^45^109,f0e972a481,3653f07c7c,"C,3a21f38a2e,4,3-C,ccc1a01dcb,15,2-C,8bb1d06702,28,1"
torch/optim/_multi_tensor/nadam.py^45^109+torch/optim/_multi_tensor/radam.py^41^98,f0e972a481,3653f07c7c,"C,3a21f38a2e,4,3-C,7176c92687,9,2-C,ccc1a01dcb,15,1"
torch/optim/_multi_tensor/nadam.py^45^109+torch/optim/adadelta.py^40^89,f0e972a481,3653f07c7c,"C,3a21f38a2e,2,1-C,ccc1a01dcb,15,1-I,8e8d170674,123,2"
torch/optim/_multi_tensor/nadam.py^45^109+torch/optim/adam.py^56^119,f0e972a481,3653f07c7c,"I,3d358a7678,3,2-I,3a21f38a2e,2,1-I,7176c92687,5,2-I,ccc1a01dcb,15,1"
torch/optim/_multi_tensor/nadam.py^45^109+torch/optim/adamax.py^41^98,f0e972a481,3653f07c7c,"C,3a21f38a2e,2,1-C,7176c92687,4,2-C,ccc1a01dcb,15,1-I,d9acfef831,147,2"
torch/optim/_multi_tensor/nadam.py^45^109+torch/optim/adamw.py^55^123,f0e972a481,3653f07c7c,"I,a9c7d626e1,3,2-I,3a21f38a2e,2,1-I,7176c92687,5,2-I,ccc1a01dcb,15,1"
torch/optim/_multi_tensor/nadam.py^45^109+torch/optim/asgd.py^37^94,f0e972a481,3653f07c7c,"C,3a21f38a2e,2,1-C,ccc1a01dcb,15,1-C,8bb1d06702,23,2"
torch/optim/_multi_tensor/nadam.py^45^109+torch/optim/nadam.py^45^110,f0e972a481,3653f07c7c,"C,3a21f38a2e,2,1-C,ccc1a01dcb,29,3"
torch/optim/_multi_tensor/nadam.py^45^109+torch/optim/radam.py^41^96,f0e972a481,3653f07c7c,"C,3a21f38a2e,2,1-C,7176c92687,6,2-C,ccc1a01dcb,15,1"
torch/optim/_multi_tensor/nadam.py^45^109+torch/optim/rmsprop.py^57^118,f0e972a481,3653f07c7c,"C,3a21f38a2e,2,1-C,ccc1a01dcb,15,1"
torch/optim/_multi_tensor/nadam.py^45^109+torch/optim/rprop.py^30^82,f0e972a481,3653f07c7c,"C,3a21f38a2e,2,1-C,ccc1a01dcb,15,1"
torch/optim/_multi_tensor/nadam.py^45^109+torch/optim/sparse_adam.py^54^111,f0e972a481,3653f07c7c,"C,3a21f38a2e,2,1-C,ccc1a01dcb,15,1"
torch/optim/_multi_tensor/adadelta.py^94^114+torch/optim/_multi_tensor/nadam.py^110^130,f0e972a481,cfc5519661,"I,3a21f38a2e,42,3"
torch/optim/_multi_tensor/adam.py^145^165+torch/optim/_multi_tensor/nadam.py^110^130,f0e972a481,cfc5519661,"I,3a21f38a2e,42,3"
torch/optim/_multi_tensor/adamax.py^98^118+torch/optim/_multi_tensor/nadam.py^110^130,f0e972a481,cfc5519661,"I,3a21f38a2e,42,3"
torch/optim/_multi_tensor/adamw.py^146^166+torch/optim/_multi_tensor/nadam.py^110^130,f0e972a481,cfc5519661,"I,3a21f38a2e,42,3"
torch/optim/_multi_tensor/asgd.py^84^104+torch/optim/_multi_tensor/nadam.py^110^130,f0e972a481,cfc5519661,"I,3a21f38a2e,42,3"
torch/optim/_multi_tensor/nadam.py^110^130+torch/optim/_multi_tensor/radam.py^99^119,f0e972a481,cfc5519661,"I,3a21f38a2e,42,3"
torch/optim/_multi_tensor/nadam.py^110^130+torch/optim/_multi_tensor/rmsprop.py^126^146,f0e972a481,cfc5519661,"I,3a21f38a2e,42,3"
torch/optim/_multi_tensor/nadam.py^110^130+torch/optim/_multi_tensor/rprop.py^98^118,f0e972a481,cfc5519661,"I,3a21f38a2e,42,3"
torch/optim/_multi_tensor/nadam.py^110^130+torch/optim/_multi_tensor/sgd.py^157^177,f0e972a481,cfc5519661,"I,3a21f38a2e,42,3"
torch/fx/tensor_type.py^46^69+torch/fx/tensor_type.py^70^91,6f1455440b,95c148e502,"C,4bd54cebe0,2,1"
torch/optim/_multi_tensor/adagrad.py^24^45+torch/optim/adagrad.py^25^46,4a544df00d,dabfea8363,"I,acb340de75,8,3-I,3a21f38a2e,2,1-I,7176c92687,4,3"
torch/optim/_multi_tensor/adagrad.py^46^51+torch/optim/adagrad.py^47^52,4a544df00d,dabfea8363,"I,7176c92687,16,3"
torch/optim/_multi_tensor/adadelta.py^39^93+torch/optim/_multi_tensor/adagrad.py^53^95,4a544df00d,8e8d170674,"I,3a21f38a2e,2,1-I,7176c92687,3,2"
torch/optim/_multi_tensor/adadelta.py^39^93+torch/optim/adagrad.py^54^92,4a544df00d,8e8d170674,"I,3a21f38a2e,2,1-I,7176c92687,3,2"
torch/optim/_multi_tensor/adagrad.py^53^95+torch/optim/_multi_tensor/adamax.py^41^97,4a544df00d,dabfea8363,"I,3a21f38a2e,2,2-I,7176c92687,13,3"
torch/optim/_multi_tensor/adagrad.py^53^95+torch/optim/_multi_tensor/asgd.py^36^83,4a544df00d,dabfea8363,"I,3a21f38a2e,2,2-I,7176c92687,3,1-I,8bb1d06702,28,2"
torch/optim/_multi_tensor/adagrad.py^53^95+torch/optim/_multi_tensor/nadam.py^45^109,4a544df00d,dabfea8363,"I,3a21f38a2e,2,2-I,7176c92687,3,1-I,ccc1a01dcb,15,2"
torch/optim/_multi_tensor/adagrad.py^53^95+torch/optim/_multi_tensor/radam.py^41^98,4a544df00d,dabfea8363,"I,3a21f38a2e,2,2-I,7176c92687,12,3"
torch/optim/_multi_tensor/adagrad.py^53^95+torch/optim/adadelta.py^40^89,4a544df00d,dabfea8363,"I,7176c92687,3,1-I,8e8d170674,123,2"
torch/optim/_multi_tensor/adagrad.py^53^95+torch/optim/adagrad.py^54^92,4a544df00d,dabfea8363,"I,7176c92687,6,3"
torch/optim/_multi_tensor/adagrad.py^53^95+torch/optim/adam.py^56^119,4a544df00d,dabfea8363,"I,3d358a7678,3,2-I,7176c92687,8,3"
torch/optim/_multi_tensor/adagrad.py^53^95+torch/optim/adamax.py^41^98,4a544df00d,dabfea8363,"I,7176c92687,7,3"
torch/optim/_multi_tensor/adagrad.py^53^95+torch/optim/adamw.py^55^123,4a544df00d,dabfea8363,"I,a9c7d626e1,3,2-I,7176c92687,8,3"
torch/optim/_multi_tensor/adagrad.py^53^95+torch/optim/asgd.py^37^94,4a544df00d,dabfea8363,"I,7176c92687,3,1-I,8bb1d06702,23,2"
torch/optim/_multi_tensor/adagrad.py^53^95+torch/optim/nadam.py^45^110,4a544df00d,dabfea8363,"I,7176c92687,3,1-I,ccc1a01dcb,14,2"
torch/optim/_multi_tensor/adagrad.py^53^95+torch/optim/radam.py^41^96,4a544df00d,dabfea8363,"I,7176c92687,9,3"
torch/optim/_multi_tensor/adagrad.py^53^95+torch/optim/rmsprop.py^57^118,4a544df00d,dabfea8363,"I,7176c92687,3,1"
torch/optim/_multi_tensor/adagrad.py^53^95+torch/optim/rprop.py^30^82,4a544df00d,dabfea8363,"I,7176c92687,3,1"
torch/optim/_multi_tensor/adagrad.py^53^95+torch/optim/sparse_adam.py^54^111,4a544df00d,dabfea8363,"I,7176c92687,3,1"
torch/optim/_multi_tensor/adamax.py^41^97+torch/optim/adagrad.py^54^92,4a544df00d,d9acfef831,"I,3a21f38a2e,2,1-I,7176c92687,13,3-I,dabfea8363,167,2"
torch/optim/_multi_tensor/asgd.py^36^83+torch/optim/adagrad.py^54^92,4a544df00d,0972db5b7d,"I,3a21f38a2e,2,1-I,7176c92687,3,2-I,8bb1d06702,28,1-I,dabfea8363,167,2"
torch/optim/_multi_tensor/nadam.py^45^109+torch/optim/adagrad.py^54^92,4a544df00d,3653f07c7c,"I,3a21f38a2e,2,1-I,7176c92687,3,2-I,ccc1a01dcb,15,1-I,dabfea8363,167,2"
torch/optim/_multi_tensor/radam.py^41^98+torch/optim/adagrad.py^54^92,4a544df00d,5948522e9c,"I,3a21f38a2e,2,1-I,7176c92687,12,3-I,dabfea8363,167,2"
torch/optim/adadelta.py^40^89+torch/optim/adagrad.py^54^92,4a544df00d,95c148e502,"I,7176c92687,3,2-I,8e8d170674,123,1-I,dabfea8363,167,2-I,58a44523c1,14,1-I,6642e88ad2,31,2"
