clone_pair,start_commit,end_commit,genealogy
jax/interpreters/xla.py^274^279+jax/interpreters/xla.py^280^285,bd5c1fd13,fc2a12c47,"I,e14052046,2,1-I,75278309a,2,1-I,a7c2cdea6,3,2-I,2bd010ae8,3,3-I,40805e4f1,5,3"
jax/api.py^292^302+jax/api_util.py^33^43,4124932b8,bea4515a1,"I,670fab59c,2,1-I,26e9ebcda,13,1"
jax/core.py^42^48+jax/interpreters/xla.py^235^243,3db941f18,267a4ca4c,"I,286ec51f6,2,2-I,8bd1a46ce,5,2-I,a15aa9bd4,3,2-I,87d959089,1,2-I,5290c03a1,2,2-I,d55ea510e,4,2-I,34065df24,8,1-I,177e7cf31,2,1-I,75278309a,4,2-I,6614f9489,1,1-I,2bd010ae8,7,2"
jax/abstract_arrays.py^111^116+jax/interpreters/xla.py^269^274,3db941f18,0080c8954,"I,42dd736af,7,1-I,e14052046,6,2-I,1e7d13b5f,8,1"
jax/interpreters/xla.py^275^280+jax/interpreters/xla.py^281^286,3db941f18,267a4ca4c,"I,a7c2cdea6,8,2-I,2bd010ae8,2,3"
jax/core.py^42^48+jax/interpreters/xla.py^240^248,c92ce029a,267a4ca4c,"I,286ec51f6,2,2-I,87d959089,1,2-I,5290c03a1,2,2-I,d55ea510e,4,2-I,34065df24,8,1-I,177e7cf31,2,1-I,75278309a,4,2-I,6614f9489,1,1-I,2bd010ae8,10,2"
jax/core.py^416^422+jax/interpreters/xla.py^210^215,c92ce029a,cc1d2aaae,"I,a15aa9bd4,2,2-I,2bd010ae8,26,2-I,3f34ee425,3,2-I,52fe82171,4,2-I,40805e4f1,8,2"
jax/abstract_arrays.py^111^116+jax/interpreters/xla.py^274^279,c92ce029a,0080c8954,"I,42dd736af,7,1-I,e14052046,2,2-I,1e7d13b5f,8,1"
jax/interpreters/xla.py^280^285+jax/interpreters/xla.py^286^291,c92ce029a,267a4ca4c,"I,75278309a,2,2-I,a7c2cdea6,8,3-I,2bd010ae8,3,3"
jax/abstract_arrays.py^111^116+jax/interpreters/xla.py^270^275,7404cb95b,0080c8954,"I,42dd736af,7,1-I,e14052046,5,2-I,1e7d13b5f,8,1"
jax/interpreters/xla.py^276^281+jax/interpreters/xla.py^282^287,7404cb95b,f02d5b469,"I,75278309a,2,2-I,a7c2cdea6,8,2"
