clone_pair,start_commit,end_commit,genealogy
keras/layers/convolutional.py^51^63+keras/layers/recurrent.py^70^80,e074a049,25e85b61,"I,76b28524,1,1-I,8995b50a,2,2-I,ec8f7f00,6,3-I,b64217cd,8,3-I,b0576247,14,1-I,47ed18a3,10,2"
keras/layers/convolutional.py^51^63+keras/layers/recurrent.py^140^152,e074a049,34055f49,"I,76b28524,1,1-I,8995b50a,2,2-I,ec8f7f00,2,1-I,b64217cd,6,1-I,b0576247,14,1-I,47ed18a3,13,2-I,6c458ff2,1,1-I,40864d89,20,2-I,becc5f3a,2,1-I,295bfe4e,12,3-I,efe59161,1,1-I,a981a8c4,1,1-I,bc6880fa,1,1-I,04ea01f3,2,2-I,9ee0c8e6,2,1-I,8f757443,2,2-I,f2fe51a9,2,1-I,023331ec,34,1-I,03a7eb89,8,2-I,16feb385,3,2-I,3f148e40,10,2"
keras/layers/convolutional.py^51^63+keras/layers/recurrent.py^240^251,e074a049,12e0052f,"I,76b28524,1,1-I,ec8f7f00,4,3-I,b64217cd,6,1-I,b0576247,14,1-I,47ed18a3,9,2-I,6c458ff2,1,1-I,40864d89,13,2"
keras/layers/convolutional.py^51^63+keras/layers/recurrent.py^353^363,e074a049,12e0052f,"I,76b28524,1,1-I,ec8f7f00,2,1-I,b64217cd,6,1-I,b0576247,14,1-I,47ed18a3,6,2-I,6c458ff2,1,1-I,40864d89,13,2"
keras/layers/recurrent.py^70^80+keras/layers/recurrent.py^140^152,e074a049,25e85b61,"I,8995b50a,4,3-I,ec8f7f00,4,1-I,b64217cd,2,1-I,47ed18a3,23,3"
keras/layers/recurrent.py^70^80+keras/layers/recurrent.py^240^251,e074a049,25e85b61,"I,8995b50a,2,1-I,ec8f7f00,6,3-I,b64217cd,2,1-I,47ed18a3,19,3"
keras/layers/recurrent.py^70^80+keras/layers/recurrent.py^353^363,e074a049,25e85b61,"I,8995b50a,2,1-I,ec8f7f00,4,1-I,b64217cd,2,1-I,47ed18a3,16,3"
keras/layers/recurrent.py^140^152+keras/layers/recurrent.py^240^251,e074a049,12e0052f,"I,8995b50a,2,1-I,ec8f7f00,2,2-I,47ed18a3,22,3-I,40864d89,33,3"
keras/layers/recurrent.py^140^152+keras/layers/recurrent.py^353^363,e074a049,12e0052f,"I,8995b50a,2,1-I,47ed18a3,19,3-I,40864d89,33,3"
keras/layers/recurrent.py^240^251+keras/layers/recurrent.py^353^363,e074a049,12e0052f,"C,ec8f7f00,2,1-I,47ed18a3,15,3-I,40864d89,26,3"
keras/layers/core.py^163^170+keras/layers/normalization.py^46^50,54691f9b,8ad18ce8,"I,2ab9f0ef,2,1-I,15a3a1f1,1,1-I,c81d6ec9,3,2-I,15fea048,1,1-I,a744b600,4,2"
keras/layers/core.py^205^210+keras/layers/normalization.py^46^50,54691f9b,8ad18ce8,"I,c81d6ec9,3,2-I,a744b600,4,2"
keras/layers/embeddings.py^34^40+keras/layers/normalization.py^46^50,54691f9b,8ad18ce8,"I,c81d6ec9,3,2-I,a744b600,4,2"
keras/layers/embeddings.py^93^99+keras/layers/normalization.py^46^50,54691f9b,52dac5e4,"I,c81d6ec9,3,2-I,4e519f7a,7,1"
keras/optimizers.py^79^92+keras/optimizers.py^99^112,361fd41f,b5cb82c6,"C,3653f906,16,3-I,6fc8660a,6,3-I,f04fdec9,4,2-I,ec8f7f00,11,3-I,b64217cd,6,3-I,6cd8d3c3,6,1-I,33ed943a,6,2-I,9a93fc51,13,2-I,295bfe4e,9,3-I,3860e078,3,2-I,5f7e78df,4,3-I,b581eb3f,2,2-I,35339120,3,1-I,defa1283,7,2-I,e418fc69,2,2-I,b2e8d5ab,12,2-I,ea47e6de,8,2-I,1f5455e2,1,2-I,a164addd,8,2-I,2382f788,10,3-I,2afe0b00,9,2-I,2d8739dd,2,2-I,321d838b,6,2-I,98465b85,3,2-I,161f0a87,4,2-I,4d857be6,1,2-I,36098bf0,7,2-I,54462554,15,2"
keras/models.py^78^85+keras/models.py^86^93,361fd41f,abedfa8a,"C,e82ab0ca,16,3"
keras/regularizers.py^6^11+keras/regularizers.py^12^17,361fd41f,c4579a9c,"C,938f96b6,4,3-I,f04fdec9,15,3-I,2a319c72,2,1-I,90d0eb9b,2,1-I,ff62eb25,9,3"
keras/layers/core.py^85^91+keras/layers/core.py^177^184,361fd41f,61ade483,"I,b1d94489,9,1-I,15fea048,2,2-I,a744b600,2,2-I,40864d89,3,1-I,5255b5df,4,2-I,037e592f,3,1-I,295bfe4e,14,3"
keras/layers/core.py^85^91+keras/layers/core.py^223^228,361fd41f,61ade483,"I,f04fdec9,12,2-I,b1d94489,9,1-I,ec8f7f00,3,2-I,40864d89,4,3-I,12e0052f,12,2-I,037e592f,3,1-I,295bfe4e,24,3"
keras/layers/core.py^85^91+keras/layers/embeddings.py^35^41,361fd41f,61ade483,"I,b1d94489,9,1-I,40864d89,3,1-I,037e592f,3,1-I,943d2d4c,3,2-I,295bfe4e,12,3"
keras/layers/core.py^85^91+keras/layers/embeddings.py^95^101,361fd41f,52dac5e4,"I,b1d94489,9,1-I,4e519f7a,7,2"
keras/layers/core.py^85^91+keras/layers/normalization.py^47^51,361fd41f,9e7f67b6,"I,b1d94489,9,1-I,c81d6ec9,8,2"
keras/layers/core.py^177^184+keras/layers/core.py^223^228,361fd41f,61ade483,"I,f04fdec9,12,2-I,ec8f7f00,3,2-I,15fea048,2,1-I,a744b600,2,1-I,40864d89,1,2-I,12e0052f,12,2-I,5255b5df,4,1-I,295bfe4e,22,3"
keras/layers/core.py^177^184+keras/layers/embeddings.py^35^41,361fd41f,61ade483,"I,15fea048,2,1-I,a744b600,2,1-I,5255b5df,4,1-I,943d2d4c,3,2-I,295bfe4e,10,3"
keras/layers/core.py^177^184+keras/layers/embeddings.py^95^101,361fd41f,52dac5e4,"I,15fea048,2,1-I,4e519f7a,7,2"
keras/layers/core.py^177^184+keras/layers/normalization.py^47^51,361fd41f,9e7f67b6,"I,c81d6ec9,8,2"
keras/layers/core.py^223^228+keras/layers/embeddings.py^35^41,361fd41f,61ade483,"I,f04fdec9,12,1-I,ec8f7f00,3,1-I,40864d89,1,1-I,12e0052f,12,1-I,943d2d4c,3,2-I,295bfe4e,20,3"
keras/layers/core.py^223^228+keras/layers/embeddings.py^95^101,361fd41f,52dac5e4,"I,f04fdec9,12,1-I,ec8f7f00,3,1-I,4e519f7a,7,2"
keras/layers/core.py^223^228+keras/layers/normalization.py^47^51,361fd41f,9e7f67b6,"I,f04fdec9,12,1-I,ec8f7f00,3,1-I,c81d6ec9,8,2"
keras/layers/embeddings.py^35^41+keras/layers/embeddings.py^95^101,361fd41f,52dac5e4,"I,4e519f7a,7,2"
keras/layers/embeddings.py^35^41+keras/layers/normalization.py^47^51,361fd41f,9e7f67b6,"I,c81d6ec9,8,2"
keras/layers/embeddings.py^95^101+keras/layers/normalization.py^47^51,361fd41f,9e7f67b6,"I,c81d6ec9,8,2"
keras/layers/recurrent.py^49^70+keras/layers/recurrent.py^122^141,361fd41f,25e85b61,"C,be1ec8ae,4,3-C,5e2b9358,4,3-I,ec8f7f00,4,3-I,47ed18a3,42,3"
keras/layers/recurrent.py^49^70+keras/layers/recurrent.py^225^242,361fd41f,25e85b61,"C,be1ec8ae,4,3-I,5e2b9358,4,3-I,ec8f7f00,4,3-I,47ed18a3,31,3"
keras/layers/recurrent.py^122^141+keras/layers/recurrent.py^225^242,361fd41f,c4579a9c,"C,be1ec8ae,4,3-I,5e2b9358,4,3-I,ec8f7f00,4,3-I,47ed18a3,29,3-I,40864d89,6,3-I,44e0a7bb,2,1-I,ecd414d7,1,2-I,295bfe4e,28,1-I,ff62eb25,6,2"
keras/layers/convolutional.py^52^64+keras/layers/recurrent.py^71^81,361fd41f,25e85b61,"I,76b28524,1,1-I,8995b50a,2,2-I,ec8f7f00,7,3-I,b64217cd,8,3-I,b0576247,14,1-I,47ed18a3,11,2"
keras/layers/convolutional.py^52^64+keras/layers/recurrent.py^142^154,361fd41f,34055f49,"I,76b28524,1,1-I,8995b50a,2,2-I,ec8f7f00,3,1-I,b64217cd,6,1-I,b0576247,14,1-I,47ed18a3,14,2-I,40864d89,18,2-I,295bfe4e,11,3-I,efe59161,1,1-I,a981a8c4,1,1-I,bc6880fa,1,1-I,04ea01f3,2,2-I,8f757443,2,2-I,023331ec,22,1-I,03a7eb89,7,2-I,16feb385,3,2-I,3f148e40,9,2"
keras/layers/convolutional.py^52^64+keras/layers/recurrent.py^243^254,361fd41f,9a2b5092,"I,76b28524,1,1-I,ec8f7f00,3,1-I,b64217cd,6,1-I,b0576247,14,1-I,47ed18a3,6,2-I,40864d89,29,2-I,943d2d4c,2,2-I,295bfe4e,2,1-I,efe59161,1,1-I,a981a8c4,1,1-I,bc6880fa,1,1-I,e916f748,1,2-I,023331ec,22,1-I,03a7eb89,27,2-I,d663fda8,3,2-I,a5103909,9,2-I,b5cb82c6,23,3"
keras/layers/convolutional.py^52^64+keras/layers/recurrent.py^357^367,361fd41f,12e0052f,"I,76b28524,1,1-I,ec8f7f00,4,3-I,b64217cd,6,1-I,b0576247,14,1-I,47ed18a3,5,2-I,40864d89,12,2"
keras/layers/recurrent.py^71^81+keras/layers/recurrent.py^142^154,361fd41f,25e85b61,"I,8995b50a,4,3-I,ec8f7f00,4,1-I,b64217cd,2,1-I,47ed18a3,25,3"
keras/layers/recurrent.py^71^81+keras/layers/recurrent.py^243^254,361fd41f,25e85b61,"I,8995b50a,2,1-I,ec8f7f00,4,1-I,b64217cd,2,1-I,47ed18a3,17,3"
keras/layers/recurrent.py^71^81+keras/layers/recurrent.py^357^367,361fd41f,25e85b61,"I,8995b50a,2,1-I,ec8f7f00,5,3-I,b64217cd,2,1-I,47ed18a3,16,3"
keras/layers/recurrent.py^142^154+keras/layers/recurrent.py^243^254,361fd41f,34055f49,"I,8995b50a,2,1-I,47ed18a3,20,3-I,40864d89,47,3-I,943d2d4c,2,2-I,295bfe4e,9,1-I,e916f748,1,2-I,04ea01f3,2,1-I,8f757443,2,1-I,03a7eb89,34,3-I,d663fda8,3,2-I,16feb385,3,1-I,a5103909,9,2-I,3f148e40,9,1"
keras/layers/recurrent.py^142^154+keras/layers/recurrent.py^357^367,361fd41f,12e0052f,"I,8995b50a,2,1-I,ec8f7f00,1,2-I,47ed18a3,19,3-I,40864d89,30,3"
keras/layers/recurrent.py^243^254+keras/layers/recurrent.py^357^367,361fd41f,12e0052f,"I,ec8f7f00,1,2-I,47ed18a3,11,3-I,40864d89,41,3"
keras/layers/recurrent.py^177^214+keras/layers/recurrent.py^280^322,361fd41f,25e85b61,"I,ec8f7f00,41,3-I,47ed18a3,85,3"
keras/optimizers.py^65^81+keras/optimizers.py^87^101,33b7be70,b5cb82c6,"C,6fc8660a,7,3-I,f04fdec9,8,3-I,ec8f7f00,20,3-I,b64217cd,6,3-I,6cd8d3c3,1,1-I,33ed943a,6,3-I,9a93fc51,13,2-I,295bfe4e,8,1-I,3860e078,3,2-I,59f8d6ca,6,1-I,5f7e78df,2,2-I,b581eb3f,2,2-I,35339120,4,1-I,defa1283,7,3-I,e418fc69,2,1-I,b2e8d5ab,14,3-I,ea47e6de,10,3-I,1f5455e2,1,2-I,a164addd,6,2-I,e3dbd93c,2,1-I,2afe0b00,7,2-I,2d8739dd,11,3-I,321d838b,6,2-I,52854217,4,1-I,98465b85,3,2-I,161f0a87,4,2-I,36098bf0,9,3-I,54462554,15,2"
keras/models.py^101^108+keras/models.py^109^116,33b7be70,61ade483,"I,e82ab0ca,12,3-I,f8ee81d8,4,3-I,f04fdec9,4,1-I,e8a6ae29,1,1-I,2ab9f0ef,6,1-I,f1cd4365,2,2-I,66b8f371,2,2-I,53a05b6e,2,1-I,8f2b5f04,6,1-I,c9642571,5,1-I,1a6cb717,4,1-I,295bfe4e,26,3"
keras/layers/core.py^82^88+keras/layers/core.py^176^183,33b7be70,61ade483,"I,2ab9f0ef,2,1-I,b1d94489,4,1-I,c81d6ec9,2,1-I,15fea048,2,2-I,a744b600,11,3-I,40864d89,3,1-I,5255b5df,6,3-I,037e592f,3,1-I,c4361d22,4,1-I,295bfe4e,18,3"
keras/layers/core.py^82^88+keras/layers/core.py^224^229,33b7be70,61ade483,"I,f04fdec9,12,2-I,2ab9f0ef,2,1-I,b1d94489,4,1-I,ec8f7f00,3,2-I,c81d6ec9,2,1-I,a744b600,7,1-I,40864d89,4,3-I,12e0052f,12,2-I,5255b5df,2,1-I,037e592f,3,1-I,c4361d22,4,1-I,295bfe4e,30,3"
keras/layers/core.py^82^88+keras/layers/embeddings.py^35^41,33b7be70,61ade483,"I,2ab9f0ef,2,1-I,b1d94489,4,1-I,c81d6ec9,2,1-I,a744b600,7,1-I,40864d89,3,1-I,5255b5df,2,1-I,037e592f,3,1-I,c4361d22,4,1-I,943d2d4c,3,2-I,295bfe4e,18,3"
keras/layers/core.py^82^88+keras/layers/embeddings.py^95^101,33b7be70,52dac5e4,"I,2ab9f0ef,2,1-I,b1d94489,4,1-I,c81d6ec9,2,1-I,4e519f7a,7,2"
keras/layers/core.py^82^88+keras/layers/normalization.py^47^51,33b7be70,9e7f67b6,"I,2ab9f0ef,2,1-I,b1d94489,4,1-I,c81d6ec9,10,3"
keras/layers/core.py^176^183+keras/layers/core.py^224^229,33b7be70,61ade483,"I,f04fdec9,12,2-I,ec8f7f00,3,2-I,15fea048,2,1-I,a744b600,4,1-I,40864d89,1,2-I,12e0052f,12,2-I,5255b5df,4,1-I,295bfe4e,20,3"
keras/layers/core.py^176^183+keras/layers/embeddings.py^35^41,33b7be70,61ade483,"I,15fea048,2,1-I,a744b600,4,1-I,5255b5df,4,1-I,943d2d4c,3,2-I,295bfe4e,8,3"
keras/layers/core.py^176^183+keras/layers/embeddings.py^95^101,33b7be70,52dac5e4,"I,15fea048,2,1-I,4e519f7a,7,2"
keras/layers/core.py^176^183+keras/layers/normalization.py^47^51,33b7be70,9e7f67b6,"I,c81d6ec9,8,2"
keras/layers/core.py^224^229+keras/layers/embeddings.py^35^41,33b7be70,61ade483,"I,f04fdec9,12,1-I,ec8f7f00,3,1-I,40864d89,1,1-I,12e0052f,12,1-I,943d2d4c,3,2-I,295bfe4e,20,3"
keras/layers/core.py^224^229+keras/layers/embeddings.py^95^101,33b7be70,52dac5e4,"I,f04fdec9,12,1-I,ec8f7f00,3,1-I,4e519f7a,7,2"
keras/layers/core.py^224^229+keras/layers/normalization.py^47^51,33b7be70,9e7f67b6,"I,f04fdec9,12,1-I,ec8f7f00,3,1-I,c81d6ec9,8,2"
keras/optimizers.py^69^83+keras/optimizers.py^90^103,03fa4180,b5cb82c6,"I,f04fdec9,8,3-I,ec8f7f00,19,3-I,b64217cd,6,3-I,6cd8d3c3,2,1-I,33ed943a,8,3-I,9a93fc51,13,2-I,295bfe4e,11,3-I,3860e078,3,2-I,59f8d6ca,6,1-I,5f7e78df,2,2-I,b581eb3f,2,2-I,35339120,2,1-I,defa1283,11,3-I,e418fc69,4,3-I,b2e8d5ab,12,2-I,ea47e6de,8,2-I,1f5455e2,1,2-I,a164addd,8,2-I,e3dbd93c,2,1-I,2382f788,3,2-I,2afe0b00,9,2-I,2d8739dd,9,3-I,321d838b,6,2-I,52854217,4,1-I,98465b85,3,2-I,161f0a87,4,2-I,4d857be6,1,2-I,36098bf0,7,2-I,54462554,15,2"
keras/models.py^121^128+keras/models.py^129^136,3613ce4b,61ade483,"I,e82ab0ca,10,3-I,f8ee81d8,4,3-I,f04fdec9,4,1-I,e8a6ae29,1,1-I,2ab9f0ef,6,1-I,f1cd4365,2,2-I,66b8f371,2,1-I,53a05b6e,2,1-I,8f2b5f04,4,1-I,c9642571,5,1-I,1a6cb717,4,1-I,295bfe4e,25,3"
keras/layers/recurrent.py^49^70+keras/layers/recurrent.py^226^243,626b0b85,25e85b61,"C,5e2b9358,4,3-I,ec8f7f00,4,3-I,47ed18a3,35,3"
keras/layers/recurrent.py^122^141+keras/layers/recurrent.py^226^243,626b0b85,c4579a9c,"C,5e2b9358,4,3-I,ec8f7f00,4,3-I,47ed18a3,33,3-I,40864d89,11,3-I,44e0a7bb,2,1-I,ecd414d7,1,2-I,295bfe4e,28,1-I,ff62eb25,5,2"
keras/layers/convolutional.py^52^64+keras/layers/recurrent.py^244^256,626b0b85,9a2b5092,"I,76b28524,1,1-I,ec8f7f00,5,3-I,b64217cd,6,1-I,b0576247,14,1-I,47ed18a3,6,2-I,40864d89,28,2-I,943d2d4c,2,2-I,295bfe4e,2,1-I,efe59161,1,1-I,a981a8c4,1,1-I,bc6880fa,1,1-I,e916f748,1,2-I,023331ec,22,1-I,03a7eb89,26,2-I,d663fda8,3,2-I,a5103909,9,2-I,b5cb82c6,22,3"
keras/layers/convolutional.py^52^64+keras/layers/recurrent.py^359^370,626b0b85,12e0052f,"I,76b28524,1,1-I,ec8f7f00,11,3-I,b64217cd,6,1-I,b0576247,14,1-I,40864d89,8,2"
keras/layers/recurrent.py^71^81+keras/layers/recurrent.py^244^256,626b0b85,25e85b61,"I,8995b50a,2,1-I,ec8f7f00,6,3-I,b64217cd,2,1-I,47ed18a3,17,3"
keras/layers/recurrent.py^71^81+keras/layers/recurrent.py^359^370,626b0b85,25e85b61,"I,8995b50a,2,1-I,ec8f7f00,12,3-I,b64217cd,2,1-I,47ed18a3,11,1"
keras/layers/recurrent.py^142^155+keras/layers/recurrent.py^244^256,626b0b85,34055f49,"I,8995b50a,2,1-I,ec8f7f00,4,3-I,47ed18a3,20,3-I,40864d89,46,3-I,943d2d4c,2,2-I,295bfe4e,9,1-I,e916f748,1,2-I,04ea01f3,2,1-I,8f757443,2,1-I,03a7eb89,33,3-I,d663fda8,3,2-I,16feb385,3,1-I,a5103909,9,2-I,3f148e40,9,1"
keras/layers/recurrent.py^142^155+keras/layers/recurrent.py^359^370,626b0b85,12e0052f,"I,8995b50a,2,1-I,ec8f7f00,10,3-I,47ed18a3,14,1-I,40864d89,26,3"
keras/layers/recurrent.py^244^256+keras/layers/recurrent.py^359^370,626b0b85,12e0052f,"I,ec8f7f00,10,3-I,47ed18a3,6,1-I,40864d89,36,3"
keras/layers/recurrent.py^178^215+keras/layers/recurrent.py^282^324,626b0b85,25e85b61,"I,ec8f7f00,40,3-I,47ed18a3,94,3"
keras/layers/core.py^35^40+keras/layers/core.py^84^89,e82ab0ca,12e0052f,"I,b1d94489,5,2-I,ec8f7f00,2,2-I,40864d89,4,2"
keras/layers/core.py^35^40+keras/models.py^356^361,e82ab0ca,61ade483,"I,54b999e6,2,2-I,c81d6ec9,1,2-I,8f2b5f04,5,2-I,295bfe4e,17,3"
keras/layers/core.py^84^89+keras/models.py^356^361,e82ab0ca,12e0052f,"I,54b999e6,2,2-I,b1d94489,5,1-I,ec8f7f00,2,1-I,c81d6ec9,1,2-I,8f2b5f04,5,2-I,40864d89,4,1"
keras/layers/core.py^90^95+keras/models.py^362^367,e82ab0ca,12e0052f,"I,54b999e6,2,2-I,2084c160,27,2-I,be75548c,2,2-I,b1d94489,5,1-I,6289de37,8,2-I,e975f8a6,8,2-I,48381f8a,6,1-I,c81d6ec9,14,2-I,a744b600,5,1-I,8f2b5f04,18,2-I,40864d89,23,1"
keras/layers/core.py^139^145+keras/layers/core.py^323^328,b9b43e73,61ade483,"I,ee179f7d,11,2-I,2ab9f0ef,4,3-I,b1d94489,4,1-I,c81d6ec9,2,1-I,a744b600,7,1-I,40864d89,3,1-I,5255b5df,2,1-I,037e592f,3,1-I,c4361d22,4,1-I,295bfe4e,20,3"
keras/layers/core.py^233^240+keras/layers/core.py^323^328,b9b43e73,61ade483,"I,ee179f7d,11,2-I,2ab9f0ef,2,2-I,15fea048,2,1-I,a744b600,4,1-I,5255b5df,4,1-I,295bfe4e,10,3"
keras/layers/core.py^281^290+keras/layers/core.py^323^328,b9b43e73,61ade483,"I,ee179f7d,12,3-I,f04fdec9,12,1-I,2ab9f0ef,2,2-I,ec8f7f00,3,1-I,40864d89,1,1-I,12e0052f,12,1-I,295bfe4e,25,3"
keras/layers/core.py^323^328+keras/layers/embeddings.py^35^41,b9b43e73,61ade483,"I,ee179f7d,11,1-I,2ab9f0ef,2,1-I,943d2d4c,3,2-I,295bfe4e,10,3"
keras/layers/core.py^323^328+keras/layers/embeddings.py^95^101,b9b43e73,52dac5e4,"I,ee179f7d,11,1-I,2ab9f0ef,2,1-I,4e519f7a,7,2"
keras/layers/core.py^323^328+keras/layers/normalization.py^65^69,b9b43e73,9e7f67b6,"I,ee179f7d,11,1-I,2ab9f0ef,2,1-I,c81d6ec9,8,2"
keras/layers/core.py^207^227+keras/layers/core.py^296^316,b9b43e73,61ade483,"I,ee179f7d,16,2-I,f04fdec9,2,1-I,2ab9f0ef,2,1-I,ec8f7f00,4,1-I,15a3a1f1,1,1-I,15fea048,1,1-I,a744b600,6,1-I,6c458ff2,2,1-I,40864d89,3,1-I,295bfe4e,31,3"
keras/layers/core.py^249^269+keras/layers/core.py^296^316,b9b43e73,61ade483,"I,ee179f7d,16,2-I,f04fdec9,13,1-I,cbde35fd,14,1-I,2ab9f0ef,9,1-I,ec8f7f00,7,1-I,22566c37,2,1-I,a744b600,3,1-I,40864d89,41,1-I,12e0052f,12,1-I,5255b5df,4,1-I,f3f19146,2,1-I,295bfe4e,74,3"
keras/models.py^165^174+keras/models.py^175^184,b5fb00d7,a32b7ef0,"I,2084c160,1,1"
